Track1	Track2	x_int	y_int	ls_index_1	z1	d1	ls_index_2	z2	d2
../input_data/group_a/ch099l07.m77t.xyz	../input_data/group_a/ch043l02.m77t.xyz	53.756741738652124	4.949549791913874	1629	-3.5268053307748253	2962830.500604257	934	-13.485406619471688	1828090.0357975857
../input_data/group_a/ch100l05.m77t.xyz	../input_data/group_a/83008911.m77t.xyz	76.82516792588561	6.549045492475813	4595	-55.49465420488342	5443268.617931648	13582	-61.003476449174435	4584289.5295813745
../input_data/group_a/ch100l05.m77t.xyz	../input_data/group_a/cd2087.m77t.xyz	53.31751577191325	1.729693969609798	735	-14.874272909031303	922780.9662827704	1535	-14.0	916854.2936565378
../input_data/group_a/ch100l05.m77t.xyz	../input_data/group_a/cd2087.m77t.xyz	53.733789598599564	1.959674158660371	798	-18.7054456463801	999243.7692965957	1633	-16.0	969777.8633323587
../input_data/group_a/ch100l05.m77t.xyz	../input_data/group_a/ch043l02.m77t.xyz	55.53251633539493	-3.6557337330625614	57	12.202602168523828	98461.41633885363	1860	13.394880435003664	3682802.7290354995
../input_data/group_a/ch100l05.m77t.xyz	../input_data/group_a/ch043l02.m77t.xyz	54.19816893487575	-0.21990753327956725	382	-13.245231465900872	510897.9141255677	1309	-8.981421132699113	2727890.4780605114
../input_data/group_a/ch100l05.m77t.xyz	../input_data/group_a/ch043l02.m77t.xyz	54.48240016792611	-0.814274607172834	328	-11.848199261187272	437530.28114107135	1365	-5.212078724178128	2822976.0201267884
../input_data/group_a/ch100l05.m77t.xyz	../input_data/group_a/ch043l02.m77t.xyz	55.364346113072486	-3.109818303428881	117	-18.257194014207872	163090.03992172945	1570	-10.952352188619	3296529.076467138
../input_data/group_a/ch100l05.m77t.xyz	../input_data/group_a/ch043l02.m77t.xyz	55.52759388177062	-3.5312364759875834	73	-43.13800317946757	112734.02631382906	1827	-45.01135135278219	3597662.658386187
../input_data/group_a/ch100l05.m77t.xyz	../input_data/group_a/ch043l02.m77t.xyz	60.73133008605564	1.6234564447739999	1562	-17.125541076926165	1785043.7401031377	4028	-20.738831007567967	10671711.137889376
